bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
230,227,0,0,1,230.0,0.0,326,262,32,3,108.66666666666667,108.42303978193728,230,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
230,227,0,0,1,230.0,0.0,326,262,32,3,108.66666666666667,108.42303978193728,230,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
230,227,0,0,1,230.0,0.0,326,262,32,3,108.66666666666667,108.42303978193728,230,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
230,227,0,0,1,230.0,0.0,326,262,32,3,108.66666666666667,108.42303978193728,230,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
230,227,0,0,1,230.0,0.0,326,262,32,3,108.66666666666667,108.42303978193728,230,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
212,179,0,0,1,212.0,0.0,308,244,32,3,102.66666666666667,99.93775840769871,212,1,HTTP,1,179.0,0.0,307,32,211,4,76.75,77.50927363870726,179,
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
223,227,0,0,1,223.0,0.0,319,255,32,3,106.33333333333333,105.12320813640007,223,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
