bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
224,4118,1883,391,6,393.3333333333333,669.0230854678252,2700,244,20,17,158.8235294117647,319.1983037132648,2360,1,SSL,5,1125.4,1538.511436421582,5947,20,1450,16,371.6875,516.4347391914587,5627,Google
48,48,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,1,48.0,0.0,56,56,0,1,56.0,0.0,48,
186,6007,457,14498,3,214.66666666666666,187.26155208394724,864,206,20,11,78.54545454545455,105.45603447224616,644,1,SSL,3,6845.333333333333,5935.802351456419,20956,20,1430,21,997.9047619047619,616.1694962204494,20536,
0,0,0,0,0,,,20,20,0,1,20.0,0.0,0,1,SSL,0,,,20,20,0,1,20.0,0.0,0,Cloudflare
66,0,0,0,1,66.0,0.0,82,41,41,2,41.0,0.0,66,0,LLMNR,0,,,0,0,0,0,,,0,
191,3150,981,391,7,232.42857142857142,311.5486007226559,2007,211,20,19,105.63157894736842,158.94031005589747,1627,1,SSL,6,753.8333333333334,1093.0944479880145,4923,20,1450,20,246.15,416.0437807490937,4523,Google
39,55,0,0,1,39.0,0.0,47,47,0,1,47.0,0.0,39,0,DNS,1,55.0,0.0,63,63,0,1,63.0,0.0,55,Google
424,7220,6,0,2,215.0,209.0,650,444,20,11,59.09090909090909,121.71983818697946,430,1,HTTP,1,7220.0,0.0,7552,20,1480,13,580.9230769230769,698.427515267576,7220,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
62,78,0,0,1,62.0,0.0,70,70,0,1,70.0,0.0,62,0,DNS,1,78.0,0.0,86,86,0,1,86.0,0.0,78,
218,0,0,0,1,218.0,0.0,226,226,0,1,226.0,0.0,218,0,NetBIOS,0,,,0,0,0,0,,,0,
200,6988,606,73711594,2,403.0,203.0,562826,220,20,22961,24.512259918993074,7.897857355870357,806,1,SSL,2,36859291.0,36852303.0,74728502,20,1480,50496,1479.8895358048162,10.988186988836377,73718582,
